ticket_id,passenger_id,ticket_number,class,fare
101,1,TCKT0001,1st,100
102,2,TCKT0002,2nd,105
103,3,TCKT0003,3rd,110
104,4,TCKT0004,1st,115
105,5,TCKT0005,2nd,120
106,6,TCKT0006,3rd,125
107,7,TCKT0007,1st,130
108,8,TCKT0008,2nd,135
109,9,TCKT0009,3rd,140
110,10,TCKT0010,1st,145
111,11,TCKT0011,2nd,150
112,12,TCKT0012,3rd,155
113,13,TCKT0013,1st,160
114,14,TCKT0014,2nd,165
115,15,TCKT0015,3rd,170
116,16,TCKT0016,1st,175
117,17,TCKT0017,2nd,180
118,18,TCKT0018,3rd,185
119,19,TCKT0019,1st,190
120,20,TCKT0020,2nd,195
